unmannerly	macbeth@1404, merrywivesofwindsor@507, kinghenryviii@552, kinghenryviii@2477, kinghenryviii@1157, kinghenryviii@3621, merchantofvenice@378, hamlet@3276, titusandronicus@1131, twogentlemenofverona@2264, 1kinghenryiv@570, kinglear@274, kingjohn@3191
unmarried	winterstale@2706
unmask	rapeoflucrece@1146, rapeoflucrece@1904, measureforemeasure@3835, hamlet@812
unmasking	kinghenryviii@1141, muchadoaboutnothing@3951, muchadoaboutnothing@3973
unmaster	hamlet@807
unmatch	hamlet@2696, kinghenryviii@1982
unmatchable	kingjohn@2750, kinghenryv@2516, twelfthnight@791, antonyandcleopatra@1563
unmatched	rapeoflucrece@83, kingjohn@421, timonofathens@3369
unmeasurable	timonofathens@2884, merrywivesofwindsor@1099
unmeet	2kinghenryvi@865, 2kinghenryvi@867, muchadoaboutnothing@2792, measureforemeasure@3204, loveslabourslost@2246, various@323
unmellow	twogentlemenofverona@1211
unmerciful	kinglear@3421
unmeritable	kingrichardiii@3513, juliuscaesar@2723
unmeriting	coriolanus@1515
unminded	1kinghenryiv@3531
unmindful	kingrichardiii@4791
unmingled	troilusandcressida@802, comedyoferrors@804
unmitigable	tempest@616
unmitigated	muchadoaboutnothing@2958
unmix	hamlet@1241
unmixed	glossary@1867
unmoan	kingrichardiii@1977
unmoved	comedyoferrors@466, sonnets@1603
unmoving	othello@4002
unmuffles	measureforemeasure@4272
unmuffling	coriolanus@4183
unmusical	coriolanus@4191
unmuzzle	asyoulikeit@402
unmuzzled	twelfthnight@2140
unnatural	coriolanus@3105, coriolanus@5385, coriolanus@5266, kingrichardiii@388, kingrichardiii@436, kingrichardiii@435, kingrichardiii@554, romeoandjuliet@4537, glossary@1174, glossary@2224, macbeth@1493, macbeth@3283, macbeth@3282, winterstale@1474, hamlet@1157, hamlet@6014, hamlet@3349, hamlet@1152, 3kinghenryvi@1770, 3kinghenryvi@476, 3kinghenryvi@3966, 1kinghenryvi@2492, 1kinghenryvi@3499, tempest@2986, kinglear@2777, kinglear@1612, kinglear@400, kinglear@2483, kinglear@644, kinglear@2784, kinglear@2600, titusandronicus@3558, asyoulikeit@3314, asyoulikeit@3318, kingjohn@462, periclesprinceoftyre@2730, kinghenryviii@1375, othello@4852, othello@2646, cymbeline@4088, kinghenryv@4312
unnaturally	3kinghenryvi@427
unnaturalness	kinglear@736
unnecessarily	tempest@1453
unnecessary	kinglear@2294, kinglear@1843, kinghenryv@3096
unneighbourly	kingjohn@3082
unnerved	hamlet@2291
unnoble	antonyandcleopatra@3430
unnoted	allswellthatendswell@436, timonofathens@2110, rapeoflucrece@1230
unnumber	kinglear@4165, juliuscaesar@1863
unowed	kingjohn@2894, glossary@2227
unowned	glossary@2227
unpack	hamlet@2431
unpaid	cymbeline@5220, cymbeline@2380, cymbeline@2852, loveslabourslost@1011
unparagon	cymbeline@1430
unparagoned	cymbeline@670
unparallel	antonyandcleopatra@5901, coriolanus@4996, winterstale@3818
unpardonable	3kinghenryvi@921
unparted	tamingoftheshrew@2230
unpartial	kinghenryviii@1634
unpath	winterstale@3378
unpaved	cymbeline@1529
unpay	2kinghenryiv@1125
unpeaceable	timonofathens@588
unpeg	hamlet@3794
unpeople	cymbeline@930, 3kinghenryvi@315, antonyandcleopatra@1007, measureforemeasure@2468
unpeopled	kingrichardii@432, rapeoflucrece@2063, asyoulikeit@1949, loveslabourslost@935
unperceived	rapeoflucrece@1226
unperfect	sonnets@392
unperfectness	othello@2012
unpicked	2kinghenryiv@2131
unpin	othello@4378, othello@4357
unpink	tamingoftheshrew@2605
unpitied	measureforemeasure@2778, kingrichardiii@4257, allswellthatendswell@1130, antonyandcleopatra@730
unpitifully	merrywivesofwindsor@3431
unplagued	romeoandjuliet@1006
unplausive	troilusandcressida@2759
unpleasant	merchantofvenice@2303
unpleased	kingrichardii@2451
unpleasing	kingrichardii@2598, kingjohn@1270, romeoandjuliet@3122, kingrichardiii@3715, loveslabourslost@4309, loveslabourslost@4300
unpolicied	antonyandcleopatra@5880
unpolish	tamingoftheshrew@2594, 2kinghenryvi@2771
unpolished	loveslabourslost@1855, venusandadonis@13
unpolluted	hamlet@5297
unpossess	kingrichardiii@4839
unpossessing	kinglear@1632
unpossible	kingrichardii@1517
unpractised	rapeoflucrece@1326, glossary@2206, merchantofvenice@2180, troilusandcressida@141
unpregnant	glossary@2228, measureforemeasure@3414, hamlet@2412
unpremeditated	1kinghenryvi@487
unprepared	glossary@614, macbeth@943, kingjohn@1160, measureforemeasure@3204, kingrichardiii@2756, othello@4826
unpress	antonyandcleopatra@3756
unprevailing	hamlet@503
unprevented	twogentlemenofverona@1763
unprizable	twelfthnight@3505, cymbeline@684
unprized	kinglear@452
unprofitable	rapeoflucrece@1234, hamlet@535, measureforemeasure@4212, kinghenryv@1510, 1kinghenryiv@2301, periclesprinceoftyre@2306
unprofited	twelfthnight@485
unproper	othello@3513, glossary@2229
unproperly	coriolanus@5220
unproportioned	hamlet@842
unprovide	othello@3731
unprovided	kinglear@1614, 3kinghenryvi@4218, tamingoftheshrew@2186, glossary@1704, periclesprinceoftyre@1071, 1kinghenryiv@3076, kinghenryv@2867, kingrichardiii@2775
unprovident	sonnets@172
unprovokes	macbeth@1237
unpruned	loveslabourslost@1856, kinghenryv@4292
unpublish	kinglear@4014
unpurged	juliuscaesar@1303
unpurposed	antonyandcleopatra@4889
unqualitied	antonyandcleopatra@3421
unqueen	kinghenryviii@3714
unquestion	measureforemeasure@144, allswellthatendswell@1156
unquestionable	glossary@2230, asyoulikeit@2285
unquiet	kinghenryv@170, merchantofvenice@3129, merchantofvenice@2367, glossary@877, comedyoferrors@2419, periclesprinceoftyre@830, 2kinghenryiv@675, kingrichardiii@2700, kingrichardiii@2299
unquietly	kinglear@2557
unquietness	othello@3262, muchadoaboutnothing@615
unraised	kinghenryv@123
unraked	merrywivesofwindsor@4167
unravel	glossary@2209
unread	troilusandcressida@796
unready	glossary@2231, 1kinghenryvi@1122, 1kinghenryvi@1126, 1kinghenryvi@1124
unreal	winterstale@369, macbeth@2149
unreasonable	romeoandjuliet@2939, 3kinghenryvi@1327, merrywivesofwindsor@3339, merchantofvenice@3743
unreasonably	coriolanus@713
unrecalling	rapeoflucrece@1206
unreclaimed	hamlet@1468, glossary@995
unreconciled	othello@4820
unreconciliable	antonyandcleopatra@5269
unrecounted	kinghenryviii@2586
unrecuring	titusandronicus@1700
unrefined	glossary@2205
unregarded	asyoulikeit@1134
unregister	antonyandcleopatra@3775
unrelenting	1kinghenryvi@4044, titusandronicus@1233, 3kinghenryvi@1102
unremoveable	kinglear@2191
unremoveably	timonofathens@3751
unreprievable	kingjohn@3605
unreproved	glossary@2221
unresisted	rapeoflucrece@394
unresolved	kingrichardiii@4772
unrespected	sonnets@929, sonnets@734
unrespective	kingrichardiii@3876, glossary@2232, troilusandcressida@1564
unrest	sonnets@2509, rapeoflucrece@2045, romeoandjuliet@1157, kingrichardii@1836, kingrichardiii@5626, kingrichardiii@4198, titusandronicus@2367, titusandronicus@1059
unresting	glossary@2233
unrestored	antonyandcleopatra@2932
unrestrained	kingrichardii@3455
unrevenged	2kinghenryvi@839, 1kinghenryiv@4091
unreverend	kingjohn@370, twogentlemenofverona@1559, measureforemeasure@3986
unreverent	kingrichardii@1108, tamingoftheshrew@2202, 1kinghenryvi@1922
unreversed	twogentlemenofverona@2038
unrewarded	tempest@2820
unrighteous	hamlet@556
unrightful	kingrichardii@3180
unrip	kingrichardiii@1551
unripe	hamlet@3044, glossary@1971, various@68, venusandadonis@640, venusandadonis@177
unrivall	twogentlemenofverona@3564
unroll	titusandronicus@1093
unrolled	winterstale@2510
unroof	coriolanus@386
unroosted	winterstale@1413
unroot	allswellthatendswell@3807
unrough	macbeth@3324
unruly	macbeth@1289, twogentlemenofverona@457, kingjohn@2010, rapeoflucrece@1065, measureforemeasure@2185, 1kinghenryiv@2259, venusandadonis@408, romeoandjuliet@2520, timonofathens@3686, kinglear@509, kingrichardii@3420, kingrichardii@2423, kingrichardii@2542, comedyoferrors@1085, comedyoferrors@559
unsafe	macbeth@1846, winterstale@1223, othello@4581, twelfthnight@2560
unsaluted	coriolanus@5211
unsanctified	hamlet@5282, macbeth@2779, kinglear@4544
unsatiate	kingrichardiii@3225
unsatisfied	hamlet@5946, cymbeline@1031, 1kinghenryiv@875, romeoandjuliet@1485, loveslabourslost@1016, kinghenryviii@3524
unsavoury	venusandadonis@1357, 3kinghenryvi@3508, romeoandjuliet@4462, 1kinghenryiv@323, periclesprinceoftyre@1263
unsay	kinghenryviii@4018, 1kinghenryiv@604, kingrichardii@2670, midsummersnightsdream@301
unscalable	cymbeline@2122
unscann	coriolanus@3136
unscarr	kingrichardiii@4443, timonofathens@2845
unschool	hamlet@493, merchantofvenice@2180
unscissor	periclesprinceoftyre@2131
unscorch	juliuscaesar@707
unscour	measureforemeasure@445
unscratch	kingjohn@743
unseal	merchantofvenice@3834, kinglear@4087, allswellthatendswell@3027, hamlet@5442, kinghenryviii@2646
unseam	macbeth@161
unsearch	titusandronicus@2634
unsearchable	glossary@2236
unseason	allswellthatendswell@154, 2kinghenryiv@2316
unseasonable	muchadoaboutnothing@1221, kingjohn@2325, rapeoflucrece@735, kingrichardii@2054
unseasonably	asyoulikeit@2103
unseasoned	merrywivesofwindsor@1542
unseconded	2kinghenryiv@1544
unsecret	troilusandcressida@2580
unseduced	cymbeline@773
unseeing	sonnets@740, twogentlemenofverona@3149
unseeming	loveslabourslost@1034
unseemly	romeoandjuliet@2940
unseen	romeoandjuliet@2591, sonnets@570, sonnets@2011, various@316, antonyandcleopatra@499, tempest@1865, kinghenryv@245, comedyoferrors@306, midsummersnightsdream@2114, winterstale@585, loveslabourslost@3451, loveslabourslost@2239, rapeoflucrece@932, rapeoflucrece@844, rapeoflucrece@1017, rapeoflucrece@943, rapeoflucrece@1702, kingrichardii@2891, kingrichardii@1974, kingrichardii@3031, hamlet@2521, hamlet@3742, hamlet@3860, twogentlemenofverona@877, twogentlemenofverona@3369, allswellthatendswell@1693
unseminar	antonyandcleopatra@909
unseparable	coriolanus@4038
unserviceable	allswellthatendswell@3288
unset	sonnets@278
unsettle	kinglear@3049
unsettled	allswellthatendswell@1932, kingjohn@529, tempest@2966, winterstale@632, winterstale@378, kinghenryviii@2001, glossary@1661
unsever	coriolanus@3271
unsex	macbeth@658
unshaked	cymbeline@1380, juliuscaesar@1870
unshaken	kinghenryviii@2823, hamlet@3045
unshaped	hamlet@4244
unshapen	kingrichardiii@735
unshapes	measureforemeasure@3414
unsheath	2kinghenryiv@3615
unsheathe	3kinghenryvi@1362, 3kinghenryvi@1463, 3kinghenryvi@1394
unsheathed	rapeoflucrece@2044
unshorn	loverscomplaint@110
unshout	coriolanus@5565
unshown	antonyandcleopatra@2969
unshrinking	macbeth@3820
